day,meantemp,anomaly
1,20.496714153011233,0
2,20.0343421078827,0
3,20.992849927797774,0
4,22.04064338525012,0
5,20.455758069319913,0
6,20.627866841857013,0
7,22.613052133391093,0
8,21.97280153170614,0
9,20.90706075993673,0
10,22.089853391488777,0
11,21.254172838100295,0
12,21.421646200958907,0
13,22.2985613024254,0
14,20.311929094905345,0
15,20.668238810362546,0
16,11.907781657305634,1
17,21.714031164560513,0
18,23.20676852796095,0
19,22.149294198076316,0
20,21.808900716649617,0
21,24.84977956725826,0
22,23.32027256993882,0
23,23.774438595138598,0
24,22.441919243200733,0
25,23.480889662874493,0
26,24.293600597465517,0
27,23.18784381375328,0
28,24.869402028017287,0
29,24.046593030518878,0
30,24.507681029804587,0
31,24.34838124360642,0
32,37.20646753115845,1
33,25.23354765325215,0
34,24.335489416036094,0
35,26.360293809708523,0
36,24.459803817340536,0
37,26.03071707221246,0
38,24.001654730812476,0
39,24.770833995102297,0
40,26.43175925445646,0
41,27.1073848733443,0
42,26.672409217877412,0
43,26.515578300019712,0
44,26.45833274585825,0
45,25.407110323065346,0
46,26.289932389666784,0
47,26.671193535346177,0
48,28.30888529765268,0
49,27.71315144941183,0
50,25.722067326348277,0
51,27.922535570840584,0
52,27.32444946753348,0
53,27.141392824374343,0
54,28.536444708351773,0
55,29.059860336884775,0
56,29.061841113901522,0
57,27.390621135713925,0
58,28.017451851020848,0
59,28.75227228063168,0
60,29.48838954296587,0
61,28.122969326289716,0
62,28.50322071058625,0
63,27.666691967988392,0
64,27.65835363245143,0
65,29.745981160249826,0
66,30.365928707595017,0
67,29.011227444587206,0
68,30.157612983145686,0
69,29.583831153665738,0
70,28.6424426466479,0
71,29.71155803236256,0
72,30.948013120089733,0
73,29.431160920718106,0
74,31.085820314921147,0
75,26.95278440144641,0
76,30.442932702811227,0
77,29.753711355170367,0
78,29.410410823794653,0
79,29.84103989835374,0
80,27.798666338358657,0
81,29.600603668696788,0
82,30.208502461680485,0
83,31.357463028028977,0
84,29.386534221601984,0
85,29.118595138087354,0
86,29.444658203367393,0
87,30.878180317122336,0
88,30.30492383267216,0
89,29.456834623037523,0
90,30.50730883862406,0
91,30.095587789756532,0
92,30.96864499053289,0
93,29.29645714653114,0
94,29.666379258912936,0
95,29.594486673672407,0
96,28.512657774880356,0
97,30.25889847648484,0
98,30.207470519131817,0
99,29.932202197623003,0
100,29.670217306500486,0
101,28.46419824123705,0
102,29.43074456740338,0
103,29.477561040007537,0
104,28.983957983737934,0
105,29.58799341015223,0
106,30.11346903107506,0
107,31.552850188142727,0
108,29.795608011267845,0
109,29.830079896258923,0
110,29.446730743340975,0
111,27.548215744529017,0
112,29.383462678174546,0
113,29.410392636795173,0
114,31.75080451373831,0
115,29.02983416383698,0
116,29.455627427587277,0
117,29.048525796462297,0
118,27.84101064140466,0
119,30.076278152370655,0
120,29.606493289218875,0
121,29.56405888903747,0
122,27.779492232455326,0
123,39.44217948201256,1
124,27.110993353051228,0
125,29.00786594302839,0
126,30.51711985268204,0
127,27.239302333805878,0
128,27.56426326518255,0
129,28.128512179476466,0
130,27.421292765394707,0
131,26.267651393614166,0
132,27.778094722755824,0
133,26.536147887719682,0
134,27.958699912346194,0
135,28.68430232100692,1
136,28.801697476451306,0
137,26.348579013969726,0
138,26.68771508185582,0
139,27.69914953080244,0
140,25.52857212501359,0
141,26.85868651701208,0
142,27.808183690969873,0
143,24.76143505878767,0
144,26.419531877119642,0
145,26.358902838249154,0
146,26.743147726469566,0
147,24.584902766329627,0
148,24.360190854227284,0
149,26.059690463222232,0
150,25.69018501822518,0
151,25.497537728335956,0
152,25.445774253398334,0
153,24.270063134257324,0
154,25.031628476758865,0
155,24.94030419373637,0
156,23.77935259164525,0
157,26.204611902320337,0
158,24.656510928667444,0
159,22.833968890197024,0
160,24.52322103804802,0
161,22.732228720223354,0
162,24.333133474167813,0
163,24.54272637734411,0
164,22.400522099633196,0
165,24.02069440284185,0
166,23.305302122302177,0
167,23.548922444889428,0
168,24.457183883229423,0
169,22.14776852687271,0
170,21.471473175205652,0
171,21.167084601233846,0
172,21.071565669563732,0
173,21.640488821498657,0
174,21.888445322719456,0
175,21.653225945201704,0
176,22.032550051589254,0
177,21.04684120976161,0
178,22.31553787596351,0
179,20.425254610805293,0
180,23.23778269543171,0
181,20.97082873746209,0
182,19.315448852637605,0
183,18.929107501938887,0
184,20.309866006189306,0
185,19.43137582497707,0
186,20.19638696525,0
187,10.832145781962634,1
188,19.065167288536934,0
189,18.119366964047895,0
190,17.279785972760905,0
191,18.1769499020613,0
192,19.30910544642066,0
193,18.496503213217448,0
194,16.866885266758846,0
195,18.116581894991818,0
196,18.160108040165692,0
197,16.722985920923293,0
198,26.451353561166766,1
199,17.331346433551065,0
200,15.964508506803703,0
201,17.300469086750756,0
202,17.339580108383327,0
203,17.698920444838574,0
204,17.507753181609548,0
205,14.915420241592235,0
206,15.195507530670692,0
207,16.489762879808985,0
208,16.33110794315656,0
209,16.176210295130467,0
210,19.359027480983112,0
211,15.923658790255482,0
212,16.336190860582736,0
213,16.003913907657388,0
214,15.552065207404441,0
215,14.437685877369573,0
216,15.365768875501278,0
217,13.689425887857098,0
218,14.082533925948436,0
219,13.692782974963192,0
220,14.12054928469407,0
221,16.215638522672783,0
222,11.897836788820918,0
223,14.317341897025623,0
